source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,sample_variant,p_value_holm,significant_raw_0_05,significant_holm_0_05
NA,H3_recent_volume,adjusted,6h_window,recent_games_6+,-0.008922375908282385,-0.8922375908282385,0.00945689224696849,-0.027457544118016694,0.009612792301451923,-2.7457544118016695,0.9612792301451922,-0.9434786476648869,0.3454361318940626,True,0 recent ranked games,authoritative_ge10m,0.6781836045533138,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,0.01466820598798637,1.466820598798637,0.018690597566245488,-0.021964692091386774,0.051301104067359514,-2.1964692091386775,5.130110406735952,0.7847906379663642,0.4325763300753731,True,session depth 1,alias_confirmed_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.019916997219480793,1.9916997219480794,0.01931716348479036,-0.017943947494180552,0.05777794193314214,-1.7943947494180552,5.777794193314214,1.0310518537135498,0.3025165039597594,True,session depth 1,alias_confirmed_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,0.01697513894290446,1.697513894290446,0.021103212180218708,-0.024386396888431198,0.05833667477424012,-2.4386396888431197,5.8336674774240125,0.8043864980335205,0.42117379647968667,True,session depth 1,alias_confirmed_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.0157279199012968,1.57279199012968,0.026623928145642746,-0.036454020391145245,0.06790986019373885,-3.6454020391145243,6.790986019373885,0.5907437781254237,0.5546921104573571,True,session depth 1,alias_confirmed_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.02230293389214358,2.230293389214358,0.029237778328677883,-0.035002058620030765,0.07960792640431792,-3.5002058620030767,7.960792640431793,0.7628121959686569,0.4455754066073023,True,session depth 1,alias_confirmed_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_7,0.019715782512863354,1.9715782512863353,0.03784927812196756,-0.05446743944703289,0.09389900447275959,-5.446743944703289,9.38990044727596,0.5209024713583744,0.602434713725738,True,session depth 1,alias_confirmed_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_8+,0.023780944375005046,2.3780944375005046,0.031250071581274956,-0.03746807043859252,0.08502995918860262,-3.7468070438592522,8.502995918860263,0.7609884768793486,0.4466639499282246,True,session depth 1,alias_confirmed_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_5-10m,0.01795165028143493,1.795165028143493,0.01752253332162808,-0.016391883946859115,0.052295184509728976,-1.6391883946859114,5.229518450972898,1.0244894360838332,0.30560415794761225,True,<=5m,alias_confirmed_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_10-20m,-0.01975488425279042,-1.9754884252790421,0.028035980354739004,-0.07470439601935136,0.03519462751377052,-7.470439601935136,3.519462751377052,-0.7046261269565769,0.48104293479732135,True,<=5m,alias_confirmed_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_20-30m,0.01694574500482393,1.694574500482393,0.03840881579248502,-0.058334150637279966,0.09222564064692783,-5.833415063727997,9.222564064692783,0.44119415439357274,0.6590724447837351,True,<=5m,alias_confirmed_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_30-60m,-0.022126004347038944,-2.2126004347038943,0.03767252304768754,-0.09596279272726163,0.05171078403318374,-9.596279272726163,5.171078403318374,-0.5873247278668029,0.5569856366698442,True,<=5m,alias_confirmed_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_1-2h,-0.0024310056676700594,-0.24310056676700595,0.03680113163337983,-0.07455989825941221,0.0696978869240721,-7.455989825941221,6.96978869240721,-0.0660579052809631,0.9473317243324677,True,<=5m,alias_confirmed_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_2-6h,-0.05156984239213502,-5.156984239213502,0.030416169837332883,-0.11118443982096099,0.00804475503669095,-11.1184439820961,0.8044755036690949,-1.695474567242785,0.0899854308982452,True,<=5m,alias_confirmed_ge10m,0.7198834471859616,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_6-24h,0.03044425015865191,3.044425015865191,0.021971299682011874,-0.012618705911627705,0.07350720622893153,-1.2618705911627706,7.350720622893153,1.3856371994041357,0.16585771331219148,True,<=5m,alias_confirmed_ge10m,1.0,False,False
