source,previous_queue_id,current_queue_id,transitions,percent
NA,420,420,117369,93.07760630620628
NA,440,440,5537,4.391029199511491
NA,420,440,1610,1.2767847229932274
NA,440,420,1582,1.2545797712889974
KR,420,420,112157,94.01887804714482
KR,440,440,5204,4.362404855313013
KR,420,440,975,0.8173222009858163
KR,440,420,956,0.8013948965563491
EU,420,420,916766,93.92863290246962
EU,440,440,36131,3.7018556920731456
EU,440,420,11593,1.1877781693892773
EU,420,440,11534,1.1817332360679655
