source,players,mean_span_days,median_span_days,p25_span_days,p75_span_days,p95_span_days,max_span_days
NA,1581,59.62478006703585,68.90026902777778,39.313521863425926,84.26452120370371,91.65292032407407,94.41304519675926
KR,1291,59.2065051634087,69.01024710648149,42.31828685185185,81.23649679398149,86.81267513310185,91.04874131944445
EU,8297,69.80804521233956,80.54297939814815,44.98685553240741,99.5825921412037,106.28560319212963,109.95836050925926
