consecutive_pairs,players_with_pairs,negative_gap_pairs,zero_gap_pairs,min_gap_min,p01_gap_min,p05_gap_min,p25_gap_min,median_gap_min,p75_gap_min,p90_gap_min,p95_gap_min,p99_gap_min,max_gap_min,source,history_scope
126098.0,1516.0,0.0,0.0,2.58625,3.6938333333333335,4.301909166666667,6.524466666666667,14.972216666666666,515.9495791666666,2104.079483333334,4542.209215833317,18416.647470666652,132200.5657,NA,ranked_420_plus_440
118822.0,1465.0,0.0,0.0,2.58625,3.678042,4.2855,6.528216666666666,15.107083333333334,509.1571041666666,2038.3905166666734,4532.947344166665,18554.535968333334,132377.20496666667,NA,solo_duo_420_only
119292.0,1232.0,0.0,0.0,2.4718333333333335,3.763869833333333,4.363875833333333,6.4235375,13.568000000000001,301.92687083333334,1673.3654450000006,4147.917315833332,15461.163092999997,124125.20671666667,KR,ranked_420_plus_440
113025.0,1163.0,0.0,0.0,2.4718333333333335,3.7590500000000002,4.363226666666667,6.5494,14.053566666666667,305.1607,1623.682686666668,4061.1867933333087,15419.00957133322,124125.20671666667,KR,solo_duo_420_only
976024.0,8153.0,0.0,0.0,2.3958,3.7501538333333335,4.3607,6.3235,14.860041666666667,296.35294583333337,1413.2566666666667,3045.978369166665,15748.054513666675,152315.0364,EU,ranked_420_plus_440
927661.0,8023.0,0.0,0.0,2.3958,3.7398500000000006,4.347433333333333,6.303583333333333,14.835733333333334,292.1733,1409.6358333333333,3045.4792666666667,15979.602270000027,152315.0364,EU,solo_duo_420_only
