covered_matches,matches_with_1_tracked,matches_with_2_tracked,matches_with_3plus_tracked,mean_tracked_players_per_covered_match,max_tracked_players_in_match,source
69393.0,44582.0,9532.0,15279.0,1.8399406280172352,10.0,NA
61381.0,37991.0,7727.0,15663.0,1.964500415438002,10.0,KR
366147.0,178354.0,68948.0,118845.0,2.6883219034977754,10.0,EU
