source,matches,mean_min,median_min,min_min,p01_min,p05_min,p25_min,p75_min,p95_min,p99_min,max_min,under_5_min,min_5_to_10,min_10_to_15,min_15_to_20,at_least_20_min
NA,69393,27.956913761714805,28.216666666666665,1.1,3.065333333333333,15.516666666666667,24.366666666666667,31.966666666666665,39.03333333333333,44.8346666666667,89.41666666666667,820,219,216,7012,61126
KR,61381,25.909461396849284,26.583333333333332,1.65,10.900000000000016,15.266666666666667,21.266666666666666,30.1,36.88333333333333,42.31666666666668,64.88333333333334,477,124,105,12292,48383
EU,366328,27.948447156646452,28.15,1.0833333333333333,2.7333333333333334,15.55,24.433333333333334,31.916666666666668,38.6,44.0,69.33333333333333,4218,1021,1020,33685,326384
