subgroup,history_auc,combined_auc,delta_auc_combined_minus_history,history_accuracy,combined_accuracy,delta_accuracy_combined_minus_history,history_f1,combined_f1,delta_f1_combined_minus_history
ALL,0.513781481962126,0.518522266386887,0.004740784424761002,0.5299548279450493,0.530274578655768,0.0003197507107186581,0.684398713424726,0.6729885825066679,-0.011410130918058092
NA,0.5039988841853014,0.5128375378803406,0.008838653695039222,0.5091693635382956,0.5114971895758814,0.002327826037585856,0.6642066420664207,0.6450202161894546,-0.019186425876966062
KR,0.5065190972462887,0.515938804016899,0.009419706770610214,0.534882338958878,0.5342286665082007,-0.0006536724506773783,0.688675868103894,0.6674868488036654,-0.02118901930022865
EU,0.5155567411791585,0.5193512511029449,0.003794509923786382,0.532013258897418,0.5321949872063271,0.0001817283089090571,0.6864070765423921,0.6770413565718357,-0.009365719970556352
