source,n,p25_min,median_min,p75_min,p90_min,p95_min,p99_min
EU,928359,6.301083333333334,14.75955,282.41584166666667,1389.4562566666668,2929.9051199999994,15370.488696666758
KR,113113,6.550066666666667,14.039033333333334,300.77515,1593.3905233333342,3959.787929999991,14258.291054666679
NA,118951,6.527208333333333,15.07025,494.57459166666666,1893.9770833333334,4367.608325,17263.037625
