source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_2,-0.0006615412139841676,-0.06615412139841675,0.0037987687396612564,-0.008106991129316843,0.006783908701348507,-0.8106991129316843,0.6783908701348507,-0.17414621929398064,0.8617505503669743,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_3,0.007642782694590428,0.7642782694590428,0.004708423085928554,-0.0015855569778064783,0.01687112236698733,-0.15855569778064782,1.6871122366987332,1.623214939505205,0.10454346532062535,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_4,-0.0005676810623082198,-0.05676810623082198,0.005868858267897362,-0.012070431897757172,0.010935069773140732,-1.2070431897757172,1.0935069773140733,-0.09672768303392733,0.9229426550255252,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_5,0.002866571210984166,0.28665712109841657,0.00713923394253275,-0.011126070193585922,0.016859212615554252,-1.1126070193585922,1.685921261555425,0.401523641620183,0.6880346356906853,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_6,0.00599504646267276,0.599504646267276,0.008216815974736133,-0.010109616915403437,0.02209970984074896,-1.0109616915403437,2.209970984074896,0.7296070011918795,0.465630441473247,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_7,0.0019634624705278467,0.19634624705278467,0.009889331843959183,-0.017419271774797233,0.02134619671585293,-1.7419271774797234,2.134619671585293,0.19854349125994913,0.8426198608510571,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_8+,0.004779557495818596,0.47795574958185955,0.006228540803895266,-0.00742815815605428,0.01698727314769147,-0.7428158156054281,1.698727314769147,0.7673639213906264,0.4428651731024128,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,-0.00590547262505506,-0.590547262505506,0.006616317218926051,-0.018873216084442333,0.007062270834332212,-1.8873216084442332,0.7062270834332212,-0.8925618935202182,0.3720918336199165,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.003358916397951767,0.3358916397951767,0.007041162493780036,-0.010441508499151335,0.01715934129505487,-1.0441508499151335,1.715934129505487,0.47704003435781217,0.6333336139837706,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,-0.004040040353467456,-0.40400403534674556,0.007771921257453786,-0.019272726108758124,0.011192645401823215,-1.9272726108758125,1.1192645401823214,-0.5198251783100337,0.6031854287319613,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.0003124750277438723,0.03124750277438723,0.009179349784589827,-0.01767871995154769,0.018303670007035436,-1.767871995154769,1.8303670007035435,0.03404108516144044,0.9728443884512866,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.0038443749906427694,0.38443749906427693,0.009978883466371949,-0.01571387720936846,0.023402627190654002,-1.571387720936846,2.3402627190654,0.38525101566703435,0.7000514496586691,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_7,0.00033586003939926987,0.03358600393992699,0.01139353530622519,-0.02199505881738764,0.02266677889618618,-2.199505881738764,2.266677889618618,0.029478123371923282,0.9764832663786058,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_8+,0.004484049343078569,0.44840493430785694,0.008451942731548687,-0.012081454010151944,0.021049552696309082,-1.2081454010151944,2.104955269630908,0.5305347522458824,0.5957412206578752,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,prior_win_rate,-0.3136800821238537,-31.36800821238537,0.019359520364363683,-0.35162404479597625,-0.2757361194517311,-35.162404479597626,-27.57361194517311,-16.202885000253666,4.811578620400897e-59,False,
NA,H1_session_depth,adjusted,30m_session_boundary,log1p_prior_matches,-0.00960225765034467,-0.960225765034467,0.003147403615273753,-0.015771055381092386,-0.003433459919596954,-1.5771055381092385,-0.3433459919596954,-3.0508504227887183,0.0022819422421887295,False,
NA,H1_session_depth,adjusted,30m_session_boundary,log1p_prev_kda,0.006625253318121988,0.6625253318121989,0.0028723858804480386,0.000995480442742459,0.012255026193501517,0.0995480442742459,1.2255026193501517,2.3065331727255853,0.021080858757828967,False,
NA,H1_session_depth,adjusted,30m_session_boundary,log1p_prev_loss_streak,0.0014479231268345312,0.14479231268345313,0.005815627877244905,-0.009950498060052609,0.012846344313721671,-0.9950498060052609,1.2846344313721672,0.248971075419026,0.8033831555026261,False,
NA,H1_session_depth,adjusted,30m_session_boundary,prev_queue_was_flex440,-0.01776740158842516,-1.7767401588425162,0.014628335322408838,-0.0464384119741216,0.010903608797271282,-4.6438411974121605,1.0903608797271283,-1.214588071494892,0.22452324066146806,False,
NA,H1_session_depth,adjusted,30m_session_boundary,prev_ranked_win,0.002017225783529553,0.2017225783529553,0.006849130837545623,-0.011406823983462525,0.01544127555052163,-1.1406823983462524,1.5441275550521631,0.29452288638895724,0.7683583777292479,False,
NA,H1_session_depth,adjusted,30m_session_boundary,log1p_gap_from_prev_ranked,-0.0015040430080600368,-0.15040430080600367,0.001410355821778706,-0.0042682896241326915,0.001260203608012618,-0.4268289624132692,0.1260203608012618,-1.0664280494571752,0.2862301876239596,False,
NA,H1_session_depth,adjusted,30m_session_boundary,recent_volume_control,-0.0002483150981974753,-0.024831509819747532,0.0012638457810704728,-0.0027254073111084957,0.0022287771147135454,-0.2725407311108496,0.22287771147135454,-0.19647578993946027,0.8442377801885086,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_15.21,0.00347057805837419,0.34705780583741896,0.012059170438053842,-0.020164961683641448,0.027106117800389826,-2.016496168364145,2.710611780038983,0.28779575479109704,0.7735030871418331,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_15.22,0.0009031152307054556,0.09031152307054556,0.012307085771492733,-0.023218329636065647,0.025024560097476556,-2.321832963606565,2.5024560097476556,0.07338172882465548,0.9415023566776002,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_15.23,0.007773058100338173,0.7773058100338173,0.013287983873989141,-0.018270911719829565,0.033817027920505914,-1.8270911719829566,3.3817027920505915,0.5849689594787753,0.5585685885587106,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_15.24,0.024024818555407147,2.4024818555407146,0.014329063087801588,-0.0040596290288862635,0.05210926613970056,-0.40596290288862635,5.210926613970056,1.6766496461209393,0.09361101253436963,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_16.1,0.020745573638165243,2.0745573638165244,0.017137536272223197,-0.012843380239141038,0.05433452751547152,-1.2843380239141038,5.4334527515471525,1.2105341928168527,0.22607397849745617,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_2,-0.010240750496278515,-1.0240750496278515,0.007223763098577346,-0.024399066002339577,0.003917565009782548,-2.439906600233958,0.39175650097825476,-1.4176476106055218,0.15629367255508592,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_3,-0.004971133470119054,-0.4971133470119054,0.007631113794605373,-0.01992784166947237,0.009985574729234264,-1.9927841669472373,0.9985574729234263,-0.6514296083008582,0.5147692029154078,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_4,-0.009768935673667508,-0.9768935673667508,0.008147280856426483,-0.025737312724196063,0.0061994413768610476,-2.5737312724196064,0.6199441376861048,-1.1990424591735882,0.2305114362749337,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_5,-0.005470732459305762,-0.5470732459305762,0.009160877095377854,-0.02342572163304426,0.012484256714432734,-2.342572163304426,1.2484256714432735,-0.5971843528024227,0.5503843048057733,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_6,0.003545779263928166,0.3545779263928166,0.009708260625196731,-0.015482061913985736,0.02257362044184207,-1.5482061913985736,2.257362044184207,0.3652332174442745,0.7149373245281692,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_7,-0.00168464928557191,-0.168464928557191,0.011561247851106913,-0.02434427869008255,0.02097498011893873,-2.434427869008255,2.0974980118938733,-0.14571517774446952,0.8841462391543042,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_8+,0.0029529830328552,0.29529830328552,0.008640516965332606,-0.013982119027004032,0.019888085092714433,-1.3982119027004032,1.9888085092714434,0.3417599947668789,0.7325315182246394,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,prior_win_rate,-0.31380401445258005,-31.380401445258006,0.019358864555824515,-0.3517466917635851,-0.275861337141575,-35.174669176358506,-27.5861337141575,-16.209835734305276,4.297156139851497e-59,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,log1p_prior_matches,-0.009748995469543671,-0.9748995469543671,0.003148387210294655,-0.015919721011107727,-0.0035782699279796144,-1.5919721011107728,-0.35782699279796143,-3.0965045969143263,0.0019581682582861222,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,log1p_prev_kda,0.006635263755246626,0.6635263755246626,0.0028727285440930633,0.0010048192714640376,0.012265708239029215,0.10048192714640375,1.2265708239029216,2.3097426900603364,0.020902403842987374,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,log1p_prev_loss_streak,0.0015627301480934295,0.15627301480934294,0.005804918056890446,-0.009814700176618077,0.012940160472804937,-0.9814700176618076,1.2940160472804936,0.26920796000530384,0.7877696551228167,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,prev_queue_was_flex440,-0.017683336202689248,-1.7683336202689248,0.01462302578622858,-0.04634394008869777,0.010977267683319275,-4.634394008869777,1.0977267683319276,-1.2092802448138165,0.22655519784690925,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,prev_ranked_win,0.0021705234322244925,0.21705234322244923,0.006831419424011882,-0.011218812602126156,0.015559859466575142,-1.1218812602126156,1.555985946657514,0.31772656566734575,0.7506923581292015,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,log1p_gap_from_prev_ranked,-0.0026554581398528783,-0.2655458139852878,0.0014926490104698144,-0.005580996441933064,0.0002700801622273082,-0.5580996441933064,0.027008016222730823,-1.7790238168697592,0.0752358573391159,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,recent_volume_control,-0.0007990912976787781,-0.07990912976787781,0.001356832672069425,-0.0034584344679820965,0.0018602518726245404,-0.34584344679820966,0.18602518726245404,-0.5889387203950607,0.555902382041366,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,patch_15.21,0.003746597013872203,0.37465970138722027,0.012063200059945326,-0.019896840641922056,0.027390034669666462,-1.9896840641922056,2.739003466966646,0.3105806912970308,0.7561194078542811,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,patch_15.22,0.0011585576017759647,0.11585576017759647,0.01230169696803164,-0.02295232540429163,0.025269440607843557,-2.295232540429163,2.5269440607843556,0.09417868159057265,0.9249672191206653,False,
