source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,p_value_holm,significant_raw_0_05,significant_holm_0_05
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_2,-0.0006615412139841676,-0.06615412139841675,0.0037987687396612564,-0.008106991129316843,0.006783908701348507,-0.8106991129316843,0.6783908701348507,-0.17414621929398064,0.8617505503669743,True,session depth 1,1.0,False,False
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_3,0.007642782694590428,0.7642782694590428,0.004708423085928554,-0.0015855569778064783,0.01687112236698733,-0.15855569778064782,1.6871122366987332,1.623214939505205,0.10454346532062535,True,session depth 1,0.7318042572443775,False,False
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_4,-0.0005676810623082198,-0.05676810623082198,0.005868858267897362,-0.012070431897757172,0.010935069773140732,-1.2070431897757172,1.0935069773140733,-0.09672768303392733,0.9229426550255252,True,session depth 1,1.0,False,False
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_5,0.002866571210984166,0.28665712109841657,0.00713923394253275,-0.011126070193585922,0.016859212615554252,-1.1126070193585922,1.685921261555425,0.401523641620183,0.6880346356906853,True,session depth 1,1.0,False,False
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_6,0.00599504646267276,0.599504646267276,0.008216815974736133,-0.010109616915403437,0.02209970984074896,-1.0109616915403437,2.209970984074896,0.7296070011918795,0.465630441473247,True,session depth 1,1.0,False,False
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_7,0.0019634624705278467,0.19634624705278467,0.009889331843959183,-0.017419271774797233,0.02134619671585293,-1.7419271774797234,2.134619671585293,0.19854349125994913,0.8426198608510571,True,session depth 1,1.0,False,False
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_8+,0.004779557495818596,0.47795574958185955,0.006228540803895266,-0.00742815815605428,0.01698727314769147,-0.7428158156054281,1.698727314769147,0.7673639213906264,0.4428651731024128,True,session depth 1,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,-0.00590547262505506,-0.590547262505506,0.006616317218926051,-0.018873216084442333,0.007062270834332212,-1.8873216084442332,0.7062270834332212,-0.8925618935202182,0.3720918336199165,True,session depth 1,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.003358916397951767,0.3358916397951767,0.007041162493780036,-0.010441508499151335,0.01715934129505487,-1.0441508499151335,1.715934129505487,0.47704003435781217,0.6333336139837706,True,session depth 1,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,-0.004040040353467456,-0.40400403534674556,0.007771921257453786,-0.019272726108758124,0.011192645401823215,-1.9272726108758125,1.1192645401823214,-0.5198251783100337,0.6031854287319613,True,session depth 1,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.0003124750277438723,0.03124750277438723,0.009179349784589827,-0.01767871995154769,0.018303670007035436,-1.767871995154769,1.8303670007035435,0.03404108516144044,0.9728443884512866,True,session depth 1,1.0,False,False
