source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,sample_variant,p_value_holm,significant_raw_0_05,significant_holm_0_05
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,-0.005905472625055115,-0.5905472625055115,0.006616317218925986,-0.01887321608444226,0.00706227083433203,-1.8873216084442261,0.7062270834332031,-0.8925618935202352,0.3720918336199074,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.0033589163979517393,0.33589163979517395,0.00704116249377996,-0.010441508499151214,0.01715934129505469,-1.0441508499151213,1.715934129505469,0.47704003435781345,0.6333336139837697,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,-0.004040040353467529,-0.4040040353467529,0.007771921257453737,-0.019272726108758104,0.011192645401823045,-1.9272726108758103,1.1192645401823045,-0.5198251783100464,0.6031854287319526,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.0003124750277439066,0.031247502774390663,0.009179349784589773,-0.01767871995154755,0.018303670007035366,-1.7678719951547552,1.8303670007035366,0.034041085161444384,0.9728443884512834,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.0038443749906428393,0.3844374990642839,0.009978883466371935,-0.015713877209368364,0.023402627190654043,-1.5713877209368363,2.340262719065404,0.38525101566704184,0.7000514496586634,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_7,0.00033586003939930977,0.033586003939930976,0.011393535306225167,-0.02199505881738755,0.022666778896186172,-2.199505881738755,2.266677889618617,0.029478123371926845,0.9764832663786029,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_8+,0.004484049343078506,0.4484049343078506,0.008451942731548668,-0.012081454010151968,0.021049552696308982,-1.2081454010151969,2.1049552696308984,0.5305347522458761,0.5957412206578795,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_5-10m,-0.0027442736139572867,-0.27442736139572865,0.006909074948389555,-0.016285811679288748,0.010797264451374173,-1.6285811679288749,1.0797264451374173,-0.39719841432563313,0.6912211514120985,True,<=5m,authoritative_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_10-20m,-0.015908239374173194,-1.5908239374173194,0.008384048141012188,-0.032340671775207074,0.0005241930268606865,-3.2340671775207075,0.05241930268606865,-1.8974413203038487,0.05776971648963475,True,<=5m,authoritative_ge10m,0.4315666020773005,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_20-30m,-0.009903578540774737,-0.9903578540774737,0.014006096308593168,-0.03735502286961674,0.01754786578806727,-3.7355022869616743,1.754786578806727,-0.7070905641780136,0.4795101993822735,True,<=5m,authoritative_ge10m,1.0,False,False
