champion_id,champion_name,appearances,win_rate,pick_rate
145,Kaisa,75494,0.48803878453916866,0.08617918476002612
517,Sylas,70160,0.4948973774230331,0.08009022707451496
267,Nami,66358,0.5089363754181861,0.07575010387985552
202,Jhin,56551,0.494880727131262,0.06455505175728186
21,MissFortune,56217,0.5084227191063202,0.06417377844139122
799,Ambessa,53918,0.4855335880410995,0.061549385168239705
126,Jayce,53037,0.48963930840733827,0.06054369118231257
111,Nautilus,51925,0.4958883004333173,0.05927430217850897
131,Diana,51789,0.5078684662766224,0.059119053163655295
43,Karma,50106,0.49706621961441744,0.05719784660484103
804,Yunara,49114,0.4805147208535245,0.056065442025908324
238,Zed,49101,0.506710657624081,0.056050602046547306
157,Yasuo,48865,0.5000716259081142,0.05578119934430122
134,Syndra,47966,0.513738898386357,0.054754957694643454
51,Caitlyn,47481,0.49103852067142645,0.05420131231079026
245,Ekko,47481,0.5046018407362945,0.05420131231079026
236,Lucian,47458,0.49201399131863965,0.05417505696269001
81,Ezreal,46856,0.4734505719651699,0.0534878517645877
432,Bard,46456,0.5078784225934218,0.05303123701501806
901,Smolder,45511,0.4903649667113445,0.05195248466915978
54,Malphite,44701,0.49649895975481534,0.05102783980128126
904,Zaahen,44620,0.5074181981174362,0.05093537531449341
234,Viego,43775,0.4845231296402056,0.049970776656027546
266,Aatrox,42502,0.48522422474236504,0.048517600215522164
222,Jinx,42397,0.5093520767978866,0.048397738843760134
523,Aphelios,42113,0.5008429701042434,0.048073542371565685
246,Qiyana,42017,0.5131970392936193,0.04796395483166897
117,Lulu,41724,0.5008388457482504,0.04762948452760921
412,Thresh,41458,0.5124222104298326,0.0473258357191454
64,LeeSin,40552,0.5024906293154469,0.046291603311370166
84,Akali,40501,0.4955186291696501,0.04623338493080004
18,Tristana,39700,0.5080856423173804,0.045319013894786826
59,JarvanIV,39630,0.5032551097653293,0.045239106313612144
800,Mel,39452,0.4637534218797526,0.045035912750053655
67,Vayne,38762,0.5048243124709767,0.04424825230704602
22,Ashe,38326,0.5065229870062099,0.043750542230015114
61,Orianna,38055,0.4959926422283537,0.043441185737181684
40,Janna,37879,0.5149819161012699,0.04324027524737104
24,Jax,36734,0.4996733271628464,0.04193321552672794
91,Talon,36389,0.5061694468108494,0.04153938530522413
103,Ahri,36076,0.5071238496507373,0.041182084263685886
201,Braum,36005,0.5091515067351756,0.041101035145637274
777,Yone,34751,0.47518057034329947,0.03966954790573645
15,Sivir,33346,0.5105859773286151,0.03806568859787309
902,Milio,33076,0.4944370540573225,0.037757473641913585
55,Katarina,32891,0.5082849411693169,0.037546289320237625
36,DrMundo,32220,0.493699565487275,0.03678031807783455
13,Ryze,30961,0.48670908562384935,0.0353431231535641
89,Leona,30479,0.5012959742773713,0.03479290238033269
112,Viktor,30396,0.4889130148703777,0.03469815481979699
497,Rakan,30072,0.5008978451715882,0.03432829687264558
92,Riven,29927,0.520900858756307,0.03416277402592659
14,Sion,29825,0.49243922883487007,0.03404633726478633
887,Gwen,29428,0.5025146119342123,0.03359314712583846
12,Alistar,29237,0.5009063857440914,0.033375113582918954
121,Khazix,29200,0.5002054794520548,0.033332876718583766
37,Sona,28986,0.5110398123231905,0.033088587827564006
39,Irelia,28934,0.5052187737609732,0.03302922791011995
555,Pyke,28251,0.4989557891756044,0.03224955822522979
42,Corki,27809,0.48656909633571865,0.031744998926955335
60,Elise,27633,0.512611732349003,0.03154408843714469
119,Draven,26578,0.50545564000301,0.030339767035154768
50,Swain,26278,0.5171245909125505,0.02999730597297754
29,Twitch,26254,0.4982097966024225,0.02996990908800336
58,Renekton,26216,0.4843225511138236,0.029926530686794246
80,Pantheon,26198,0.497442552866631,0.02990598302306361
526,Rell,25921,0.49805177269395473,0.029589777308986636
8,Vladimir,25912,0.4983791293609139,0.029579503477121318
122,Darius,25419,0.4979739564892403,0.029016725798276737
950,Naafiri,25194,0.5015082956259427,0.02875988000164381
110,Varus,25038,0.48502276539659717,0.028581800249311652
114,Fiora,24772,0.5139673825286614,0.028278151440847842
99,Lux,24743,0.49052257204057714,0.028245046871504042
897,KSante,24547,0.47341834032672014,0.02802130564421492
107,Rengar,24167,0.5050275168618363,0.02758752163212376
163,Taliyah,24151,0.5012628876651071,0.027569257042140975
142,Zoe,23806,0.5157943375619591,0.02717542682063716
76,Nidalee,23774,0.5143013375956927,0.027138897640671587
86,Garen,23529,0.5009137659909049,0.026859221106560183
7,Leblanc,23079,0.4986784522726288,0.026345529513294337
10,Kayle,22642,0.5056532108470984,0.025846677899389506
