champion_id,champion_name,team_position,appearances
34,Anivia,UTILITY,1730
35,Shaco,BOTTOM,9
35,Shaco,JUNGLE,17613
35,Shaco,MIDDLE,105
35,Shaco,TOP,322
35,Shaco,UTILITY,4382
36,DrMundo,BOTTOM,32
36,DrMundo,JUNGLE,14021
36,DrMundo,MIDDLE,819
36,DrMundo,TOP,17185
36,DrMundo,UTILITY,163
37,Sona,BOTTOM,118
37,Sona,JUNGLE,6
37,Sona,MIDDLE,67
37,Sona,TOP,64
37,Sona,UTILITY,28731
38,Kassadin,BOTTOM,33
38,Kassadin,JUNGLE,11
38,Kassadin,MIDDLE,20360
38,Kassadin,TOP,510
38,Kassadin,UTILITY,12
39,Irelia,BOTTOM,442
39,Irelia,JUNGLE,5
39,Irelia,MIDDLE,10506
39,Irelia,TOP,17972
39,Irelia,UTILITY,9
40,Janna,BOTTOM,7
40,Janna,JUNGLE,5
40,Janna,MIDDLE,56
40,Janna,TOP,236
40,Janna,UTILITY,37575
41,Gangplank,BOTTOM,18
41,Gangplank,JUNGLE,8
41,Gangplank,MIDDLE,1679
41,Gangplank,TOP,18605
41,Gangplank,UNKNOWN,1
41,Gangplank,UTILITY,15
42,Corki,BOTTOM,22201
42,Corki,JUNGLE,65
42,Corki,MIDDLE,4796
42,Corki,TOP,742
42,Corki,UTILITY,5
43,Karma,BOTTOM,148
43,Karma,JUNGLE,1
43,Karma,MIDDLE,2114
43,Karma,TOP,1319
43,Karma,UNKNOWN,1
43,Karma,UTILITY,46523
44,Taric,BOTTOM,26
44,Taric,JUNGLE,122
44,Taric,MIDDLE,146
44,Taric,TOP,98
44,Taric,UTILITY,9356
45,Veigar,BOTTOM,3278
45,Veigar,JUNGLE,5
45,Veigar,MIDDLE,11849
45,Veigar,TOP,340
45,Veigar,UTILITY,895
48,Trundle,BOTTOM,29
48,Trundle,JUNGLE,3888
48,Trundle,MIDDLE,45
48,Trundle,TOP,2592
48,Trundle,UTILITY,581
50,Swain,BOTTOM,7503
50,Swain,JUNGLE,8
50,Swain,MIDDLE,6828
50,Swain,TOP,5736
50,Swain,UTILITY,6203
51,Caitlyn,BOTTOM,46376
51,Caitlyn,JUNGLE,4
51,Caitlyn,MIDDLE,536
51,Caitlyn,TOP,420
51,Caitlyn,UNKNOWN,1
51,Caitlyn,UTILITY,144
53,Blitzcrank,BOTTOM,6
53,Blitzcrank,JUNGLE,14
53,Blitzcrank,MIDDLE,27
53,Blitzcrank,TOP,29
53,Blitzcrank,UTILITY,22257
54,Malphite,BOTTOM,38
54,Malphite,JUNGLE,13448
54,Malphite,MIDDLE,3283
54,Malphite,TOP,27232
54,Malphite,UTILITY,700
55,Katarina,BOTTOM,998
55,Katarina,JUNGLE,8
55,Katarina,MIDDLE,31355
55,Katarina,TOP,458
55,Katarina,UNKNOWN,1
55,Katarina,UTILITY,71
56,Nocturne,BOTTOM,4
56,Nocturne,JUNGLE,11191
56,Nocturne,MIDDLE,231
56,Nocturne,TOP,728
56,Nocturne,UTILITY,12
57,Maokai,BOTTOM,3
57,Maokai,JUNGLE,592
57,Maokai,MIDDLE,38
57,Maokai,TOP,1104
57,Maokai,UTILITY,6134
58,Renekton,BOTTOM,24
58,Renekton,JUNGLE,13
58,Renekton,MIDDLE,1291
58,Renekton,TOP,24878
58,Renekton,UTILITY,10
59,JarvanIV,BOTTOM,22
59,JarvanIV,JUNGLE,38193
59,JarvanIV,MIDDLE,137
59,JarvanIV,TOP,280
59,JarvanIV,UTILITY,998
60,Elise,BOTTOM,14
60,Elise,JUNGLE,13505
60,Elise,MIDDLE,204
60,Elise,TOP,551
60,Elise,UTILITY,13359
61,Orianna,BOTTOM,142
61,Orianna,MIDDLE,37239
61,Orianna,TOP,368
61,Orianna,UTILITY,306
62,MonkeyKing,BOTTOM,45
62,MonkeyKing,JUNGLE,12390
62,MonkeyKing,MIDDLE,193
62,MonkeyKing,TOP,2768
62,MonkeyKing,UTILITY,138
63,Brand,BOTTOM,3171
63,Brand,JUNGLE,1711
63,Brand,MIDDLE,3121
63,Brand,TOP,644
63,Brand,UTILITY,5998
64,LeeSin,BOTTOM,70
64,LeeSin,JUNGLE,37359
64,LeeSin,MIDDLE,670
64,LeeSin,TOP,2022
64,LeeSin,UTILITY,431
67,Vayne,BOTTOM,25602
67,Vayne,JUNGLE,200
67,Vayne,MIDDLE,1065
67,Vayne,TOP,11856
67,Vayne,UTILITY,39
68,Rumble,BOTTOM,9
68,Rumble,JUNGLE,1661
68,Rumble,MIDDLE,1310
68,Rumble,TOP,17759
68,Rumble,UTILITY,271
69,Cassiopeia,BOTTOM,2840
69,Cassiopeia,JUNGLE,3
