k,silhouette,inertia
2,0.4692454693233136,23433.932445098002
3,0.4361259264249119,21788.584682037035
4,0.3200839724245166,20866.070064466712
5,0.21978967006168024,20150.17214696363
6,0.3422481104199042,19606.535449394323
