size,champions,mean_association,minimum_games,mean_win_surplus_pp
3,Lulu | XinZhao | Yunara,0.6368805643844323,1116,-0.3933799542337301
3,Jinx | Milio | Volibear,0.6195967519181365,979,-0.5252940273902162
3,Caitlyn | Lux | Volibear,0.5857036285419183,679,-0.23171401977670944
3,Jinx | Milio | Mordekaiser,0.5715436800116378,699,-0.6946334831605135
3,Jinx | Milio | Nasus,0.5706861174429333,517,0.6846192936757626
3,Kaisa | LeeSin | Neeko,0.5080164513846346,1312,0.9984246669840084
3,Jinx | Mordekaiser | Thresh,0.44408026672575734,887,0.37531642991185205
3,Ivern | Leona | Tristana,0.44190130036419734,644,0.3576189315611637
3,Corki | Rell | Rumble,0.43721126417460016,918,0.19153892151438545
3,Corki | Karthus | Nami,0.42937499905549137,608,1.2068002441572652
3,Kassadin | Sivir | Sona,0.4120485951304291,823,1.844561368520677
3,Alistar | Corki | Rumble,0.4059583123810886,930,1.6386933085016022
3,Orianna | XinZhao | Yunara,0.4016024715266453,1279,-0.1269559844191895
3,Rengar | Senna | Ziggs,0.3985160514070462,562,2.043105300954416
3,Alistar | Yasuo | Ziggs,0.3982417417336404,629,1.1707148479553122
3,KSante | Nidalee | Yunara,0.38583997242546425,941,-0.9344308532524067
3,Ivern | Nautilus | Tristana,0.38031347807982496,654,1.5759974206532892
3,Rumble | XinZhao | Yunara,0.3689242907368698,613,-1.3050120712662852
3,Rell | Yasuo | Ziggs,0.363948870164007,593,2.8336374115119525
3,Nautilus | Nidalee | Tristana,0.36145372671750514,1429,0.8695879719511875
3,Alistar | Karthus | Yasuo,0.3544554204279929,616,0.2754857198445593
3,Leona | Nidalee | Tristana,0.35350320334121005,1022,0.34302792171023916
3,Alistar | Rumble | Yunara,0.3532992270394268,949,1.9827394373311567
3,Rell | Rumble | Tristana,0.3516278010957623,918,0.0802137914235538
3,Karthus | Rell | Yasuo,0.3492852324542936,617,0.7051367605007833
3,Corki | Karthus | Rell,0.3469685240429959,608,0.4854459342635639
3,Corki | Karthus | Pyke,0.3440663149263945,608,0.3602691335475878
3,LeeSin | Neeko | Rumble,0.3419309833746483,631,1.971227885071965
3,Braum | Ivern | Katarina,0.33618943681074703,561,3.8596782790572326
3,Smolder | Soraka | Volibear,0.33440172354780584,597,0.08703011810687704
3,Corki | Nautilus | Rumble,0.33335368096784573,930,1.2070192575128906
3,Corki | Nautilus | Nidalee,0.32534533029219337,1006,0.5720293907234367
3,Neeko | Rumble | XinZhao,0.32291631574739776,559,0.6058877555498018
3,Milio | Smolder | Volibear,0.31945080561121736,979,-1.2104780041615546
3,Alistar | Jayce | Rumble,0.3162141737136517,949,1.6833360972502984
3,Alistar | Rumble | Tristana,0.3160751540285293,949,1.2730847738686897
3,Corki | Karthus | Leona,0.31331591246571594,608,1.4723863699404667
3,Braum | Ivern | Jinx,0.31274234881782464,561,3.632750825095924
3,Corki | Leona | Nidalee,0.3120050815774138,1006,-0.36160299116129907
3,Corki | Karthus | Nautilus,0.3105128048515298,608,2.131242192283372
3,Alistar | Corki | Nidalee,0.30941413399426715,919,0.4431940265331928
3,Alistar | Jayce | Ziggs,0.3076989503829422,629,-1.2751964458572853
3,Corki | Nidalee | Rell,0.30006213594242875,817,-0.3787196486050619
3,Nautilus | Rumble | Tristana,0.29942355008554405,1142,0.6278708217088572
3,Alistar | Corki | Karthus,0.298964214895545,608,1.122014076315181
3,Malzahar | Milio | Volibear,0.2989130029440566,521,-1.4597090502655803
3,Jinx | Soraka | Volibear,0.29103532463941323,597,0.08784494502035815
3,Alistar | Nidalee | Tristana,0.2895695029493213,919,0.9542925089320642
3,Nidalee | Rell | Tristana,0.28451720017120435,817,0.3866622383358906
3,Alistar | Orianna | Yunara,0.27960968041948536,1607,1.4221048891769026
3,Alistar | Nidalee | Yunara,0.2738985274462792,919,1.5489219755084178
3,Alistar | Azir | Yunara,0.27168268199852025,511,0.1728812265514894
3,Aphelios | Braum | Ivern,0.2638046162420417,561,1.551632709118637
3,Jayce | Neeko | Rumble,0.26343724050496087,631,-0.07265934113368316
3,KSante | Orianna | Yunara,0.25936056021028836,1250,-0.3223974232823076
