source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_2,-0.0006615412139841864,-0.06615412139841864,0.0037987687396612547,-0.008106991129316858,0.006783908701348486,-0.8106991129316858,0.6783908701348487,-0.17414621929398566,0.8617505503669703,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_3,0.007642782694590426,0.7642782694590425,0.004708423085928556,-0.0015855569778064835,0.016871122366987335,-0.15855569778064835,1.6871122366987334,1.6232149395052038,0.10454346532062561,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_4,-0.000567681062308218,-0.056768106230821805,0.005868858267897358,-0.012070431897757165,0.010935069773140729,-1.2070431897757166,1.0935069773140729,-0.09672768303392709,0.9229426550255253,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_5,0.002866571210984171,0.2866571210984171,0.007139233942532745,-0.011126070193585906,0.01685921261555425,-1.1126070193585906,1.6859212615554249,0.401523641620184,0.6880346356906847,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_6,0.005995046462672765,0.5995046462672765,0.008216815974736134,-0.010109616915403435,0.022099709840748966,-1.0109616915403437,2.2099709840748964,0.7296070011918799,0.4656304414732467,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_7,0.001963462470527859,0.1963462470527859,0.009889331843959182,-0.01741927177479722,0.021346196715852937,-1.741927177479722,2.134619671585294,0.19854349125995038,0.8426198608510562,True,session depth 1
NA,H1_session_depth,behavior_only,30m_session_boundary,session_depth_8+,0.0047795574958185635,0.4779557495818564,0.006228540803895264,-0.007428158156054309,0.016987273147691436,-0.7428158156054309,1.6987273147691435,0.7673639213906215,0.4428651731024157,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,-0.005905472625055115,-0.5905472625055115,0.006616317218925986,-0.01887321608444226,0.00706227083433203,-1.8873216084442261,0.7062270834332031,-0.8925618935202352,0.3720918336199074,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.0033589163979517393,0.33589163979517395,0.00704116249377996,-0.010441508499151214,0.01715934129505469,-1.0441508499151213,1.715934129505469,0.47704003435781345,0.6333336139837697,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,-0.004040040353467529,-0.4040040353467529,0.007771921257453737,-0.019272726108758104,0.011192645401823045,-1.9272726108758103,1.1192645401823045,-0.5198251783100464,0.6031854287319526,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.0003124750277439066,0.031247502774390663,0.009179349784589773,-0.01767871995154755,0.018303670007035366,-1.7678719951547552,1.8303670007035366,0.034041085161444384,0.9728443884512834,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.0038443749906428393,0.3844374990642839,0.009978883466371935,-0.015713877209368364,0.023402627190654043,-1.5713877209368363,2.340262719065404,0.38525101566704184,0.7000514496586634,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_7,0.00033586003939930977,0.033586003939930976,0.011393535306225167,-0.02199505881738755,0.022666778896186172,-2.199505881738755,2.266677889618617,0.029478123371926845,0.9764832663786029,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_8+,0.004484049343078506,0.4484049343078506,0.008451942731548668,-0.012081454010151968,0.021049552696308982,-1.2081454010151969,2.1049552696308984,0.5305347522458761,0.5957412206578795,True,session depth 1
NA,H1_session_depth,adjusted,30m_session_boundary,prior_win_rate,-0.3136800821238533,-31.36800821238533,0.01935952036436369,-0.35162404479597587,-0.2757361194517307,-35.16240447959758,-27.57361194517307,-16.202885000253637,4.811578620403061e-59,False,
NA,H1_session_depth,adjusted,30m_session_boundary,log1p_prior_matches,-0.009602257650344498,-0.9602257650344498,0.0031474036152737478,-0.015771055381092206,-0.0034334599195967926,-1.5771055381092205,-0.34334599195967924,-3.050850422788669,0.002281942242189102,False,
NA,H1_session_depth,adjusted,30m_session_boundary,log1p_prev_kda,0.006625253318121992,0.6625253318121992,0.0028723858804480386,0.0009954804427424625,0.01225502619350152,0.09954804427424624,1.2255026193501521,2.3065331727255867,0.02108085875782888,False,
NA,H1_session_depth,adjusted,30m_session_boundary,log1p_prev_loss_streak,0.0014479231268345694,0.14479231268345694,0.005815627877244915,-0.00995049806005259,0.012846344313721728,-0.995049806005259,1.284634431372173,0.2489710754190321,0.8033831555026214,False,
NA,H1_session_depth,adjusted,30m_session_boundary,prev_queue_was_flex440,-0.01776740158842515,-1.7767401588425151,0.014628335322408849,-0.046438411974121616,0.010903608797271314,-4.643841197412161,1.0903608797271314,-1.2145880714948905,0.2245232406614687,False,
NA,H1_session_depth,adjusted,30m_session_boundary,prev_ranked_win,0.0020172257835296297,0.20172257835296298,0.0068491308375456346,-0.01140682398346247,0.015441275550521728,-1.1406823983462469,1.5441275550521727,0.29452288638896795,0.7683583777292396,False,
NA,H1_session_depth,adjusted,30m_session_boundary,log1p_gap_from_prev_ranked,-0.0015040430080600212,-0.15040430080600212,0.0014103558217786931,-0.004268289624132651,0.0012602036080126085,-0.42682896241326507,0.12602036080126083,-1.0664280494571738,0.28623018762396013,False,
NA,H1_session_depth,adjusted,30m_session_boundary,recent_volume_control,-0.00024831509819749043,-0.024831509819749045,0.0012638457810704728,-0.002725407311108511,0.0022287771147135303,-0.2725407311108511,0.22287771147135302,-0.19647578993947223,0.8442377801884993,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_15.21,0.003470578058374177,0.3470578058374177,0.012059170438053863,-0.020164961683641503,0.027106117800389854,-2.0164961683641502,2.7106117800389855,0.2877957547910955,0.7735030871418344,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_15.22,0.000903115230705456,0.0903115230705456,0.01230708577149276,-0.023218329636065696,0.02502456009747661,-2.3218329636065698,2.502456009747661,0.07338172882465535,0.9415023566776003,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_15.23,0.007773058100338136,0.7773058100338136,0.013287983873989188,-0.018270911719829697,0.03381702792050597,-1.8270911719829697,3.381702792050597,0.5849689594787704,0.5585685885587138,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_15.24,0.024024818555407213,2.4024818555407212,0.014329063087801614,-0.00405962902888625,0.052109266139700676,-0.40596290288862497,5.210926613970067,1.6766496461209408,0.09361101253436929,False,
NA,H1_session_depth,adjusted,30m_session_boundary,patch_16.1,0.020745573638165267,2.0745573638165267,0.017137536272223232,-0.012843380239141083,0.05433452751547162,-1.2843380239141085,5.433452751547161,1.2105341928168516,0.2260739784974566,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_2,-0.010240750496278478,-1.024075049627848,0.007223763098577324,-0.024399066002339497,0.003917565009782541,-2.43990660023395,0.3917565009782541,-1.4176476106055211,0.1562936725550862,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_3,-0.0049711334701190045,-0.49711334701190046,0.007631113794605334,-0.019927841669472247,0.009985574729234236,-1.9927841669472246,0.9985574729234236,-0.6514296083008551,0.5147692029154098,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_4,-0.009768935673667456,-0.9768935673667456,0.00814728085642646,-0.025737312724195965,0.0061994413768610545,-2.5737312724195966,0.6199441376861055,-1.199042459173585,0.23051143627493495,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_5,-0.005470732459305844,-0.5470732459305844,0.009160877095377834,-0.0234257216330443,0.012484256714432611,-2.34257216330443,1.248425671443261,-0.597184352802433,0.5503843048057664,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_6,0.0035457792639281907,0.35457792639281904,0.009708260625196726,-0.015482061913985701,0.022573620441842083,-1.54820619139857,2.2573620441842084,0.3652332174442772,0.7149373245281672,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_7,-0.0016846492855718623,-0.16846492855718623,0.011561247851106899,-0.024344278690082474,0.020974980118938752,-2.4344278690082475,2.097498011893875,-0.14571517774446557,0.8841462391543073,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,session_depth_8+,0.0029529830328551988,0.29529830328551987,0.008640516965332598,-0.013982119027004017,0.019888085092714412,-1.3982119027004016,1.9888085092714411,0.3417599947668791,0.7325315182246392,True,session depth 1
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,prior_win_rate,-0.31380401445257977,-31.380401445257977,0.019358864555824574,-0.3517466917635849,-0.2758613371415746,-35.17466917635849,-27.586133714157462,-16.209835734305212,4.297156139855888e-59,False,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,log1p_prior_matches,-0.009748995469543609,-0.9748995469543609,0.003148387210294659,-0.015919721011107675,-0.0035782699279795433,-1.5919721011107675,-0.3578269927979543,-3.0965045969143024,0.0019581682582862805,False,
