source,consecutive_pairs,negative_gap_pairs,zero_or_positive_pairs,median_positive_gap_min,p25_positive_gap_min,p75_positive_gap_min,p90_positive_gap_min,p95_positive_gap_min,p99_positive_gap_min
NA,2533,0,2533,22.953566666666667,8.032566666666666,1120.2552666666666,2500.108680000001,3027.3771300000017,4453.744019999998
KR,2409,0,2409,10.88625,6.2522166666666665,707.2440333333333,1822.8590900000029,2811.6205333333332,4016.3967200000006
EU,2462,0,2462,41.252075000000005,8.361066666666666,283.6252,1143.0080166666667,1350.6767741666665,1595.6849823333332
