source,n,mean_min,median_min,std_min,min_min,p01_min,p05_min,p95_min,p99_min,max_min
NA,1000,28.41098333333333,28.866666666666667,8.050514744663408,1.6833333333333333,1.833,15.266666666666667,40.842499999999994,45.72916666666666,53.15
KR,1000,27.431833333333337,27.733333333333334,7.14942568274884,1.6833333333333333,2.229,15.463333333333333,38.651666666666664,43.5675,54.766666666666666
EU,1000,27.75636666666667,28.058333333333334,7.226733250394763,1.6666666666666667,1.7831666666666668,15.381666666666666,38.083333333333336,45.36966666666667,53.36666666666667
