source,history_scope,n,min_min,p01_min,p05_min,p10_min,p25_min,median_min,p75_min,p90_min,p95_min,p99_min,max_min
NA,ranked_420_plus_440,118951,2.58625,3.6782166666666667,4.285916666666667,4.8042,6.527208333333333,15.07025,494.57459166666666,1893.9770833333334,4367.608325,17263.037625,132200.5657
EU,ranked_420_plus_440,928359,2.3958,3.739926333333334,4.347481666666666,4.830033333333334,6.301083333333334,14.75955,282.41584166666667,1389.4562566666668,2929.9051199999994,15370.488696666758,152315.0364
KR,ranked_420_plus_440,113113,2.4718333333333335,3.7590919999999994,4.363416666666667,4.872493333333334,6.550066666666667,14.039033333333334,300.77515,1593.3905233333342,3959.787929999991,14258.291054666679,124125.20671666667
NA,solo420_only,118822,2.58625,3.678042,4.2855,4.803625000000001,6.528216666666666,15.107083333333334,509.1571041666666,2038.3905166666734,4532.947344166665,18554.535968333334,132377.20496666667
EU,solo420_only,927661,2.3958,3.7398500000000006,4.347433333333333,4.830216666666667,6.303583333333333,14.835733333333334,292.1733,1409.6358333333333,3045.4792666666667,15979.602270000027,152315.0364
KR,solo420_only,113025,2.4718333333333335,3.7590500000000002,4.363226666666667,4.87175,6.5494,14.053566666666667,305.1607,1623.682686666668,4061.1867933333087,15419.00957133322,124125.20671666667
