source,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,win_rate,win_rate_ci_low,win_rate_ci_high
EU,928359,489639,3.865045655301545,2.5,729.3731427503274,6.150095651219095,421.9649708789907,0.5274241968893499,0.5264085248191133,0.5284396420032322
KR,113113,59808,3.9036876222944787,2.5555555555555554,691.0070845415967,6.008138885448042,410.7719442837049,0.5287455906924934,0.5258356690659863,0.5316535599129485
NA,118951,62424,3.9320999797912375,2.5,707.7864986372928,6.0551669508691806,413.00851765555825,0.524787517549243,0.5219488456497196,0.5276245885012679
