source,target_rows,players,physical_matches,targets_after_ranked_loss,pct_after_ranked_loss,targets_under_5_min,targets_under_10_min,pct_under_5_min,pct_under_10_min,win_rate,mean_target_kda,median_target_kda
EU,928359,8072,324659,439911,47.38587119853419,9032,11240,0.9728994925454485,1.2107385181810053,0.5274241968893499,3.8650456553015466,2.5
KR,113113,1182,54677,53523,47.31816855710661,769,936,0.6798511223289985,0.8274910929778186,0.5287455906924934,3.9036876222944787,2.5555555555555554
NA,118951,1482,62014,56745,47.704516985985826,1245,1566,1.046649460702306,1.3165084782809728,0.524787517549243,3.9320999797912286,2.5
