source,match_id,platform_id,queue_id,game_start_ms,n_alias_confirmed,n_authoritative
EU,EUW1_7560899830,EUW1,420,1759945511147,0,0
EU,EUW1_7560939960,EUW1,420,1759947150364,0,0
EU,EUW1_7560990319,EUW1,420,1759949231122,0,0
EU,EUW1_7561052137,EUW1,420,1759951276002,0,0
EU,EUW1_7561101451,EUW1,420,1759953075105,0,0
EU,EUW1_7561165385,EUW1,420,1759955501980,0,0
EU,EUW1_7561242618,EUW1,420,1759957905532,0,0
EU,EUW1_7561964944,EUW1,420,1760026593384,0,0
EU,EUW1_7562054437,EUW1,420,1760030710228,0,0
EU,EUW1_7562105093,EUW1,420,1760032586744,0,0
EU,EUW1_7562157732,EUW1,420,1760034681061,0,0
EU,EUW1_7562203586,EUW1,420,1760036180500,0,0
EU,EUW1_7562266658,EUW1,420,1760038489270,0,0
EU,EUW1_7562313580,EUW1,420,1760039959740,0,0
EU,EUW1_7562383483,EUW1,420,1760042372918,0,0
EU,EUW1_7563547105,EUW1,420,1760129344685,0,0
EU,EUW1_7563619366,EUW1,420,1760132147813,0,0
EU,EUW1_7564074026,EUW1,420,1760181774619,0,0
EU,EUW1_7564159034,EUW1,420,1760186454460,0,0
EU,EUW1_7564330786,EUW1,420,1760194652163,0,0
EU,EUW1_7564373103,EUW1,420,1760196744628,0,0
EU,EUW1_7570036032,EUW1,420,1760625659368,0,0
EU,EUW1_7570073919,EUW1,420,1760627771691,0,0
EU,EUW1_7570328762,EUW1,420,1760640028794,0,0
EU,EUW1_7570383141,EUW1,420,1760642330498,0,0
EU,EUW1_7570440803,EUW1,420,1760644472339,0,0
EU,EUW1_7571173742,EUW1,420,1760714669967,0,0
EU,EUW1_7571386406,EUW1,420,1760725660423,0,0
EU,EUW1_7574875071,EUW1,420,1760973378005,0,0
EU,EUW1_7575036772,EUW1,420,1760980567042,0,0
EU,EUW1_7575078407,EUW1,420,1760982535372,0,0
EU,EUW1_7575136079,EUW1,420,1760984701035,0,0
EU,EUW1_7575189975,EUW1,420,1760986560784,0,0
EU,EUW1_7575409903,EUW1,420,1760994199313,0,0
EU,EUW1_7575817576,EUW1,420,1761046238990,0,0
EU,EUW1_7575853668,EUW1,420,1761048752968,0,0
EU,EUW1_7575885306,EUW1,420,1761051271540,0,0
EU,EUW1_7587283919,EUW1,420,1761872714910,0,0
EU,EUW1_7587508000,EUW1,420,1761915070436,0,0
EU,EUW1_7587537466,EUW1,420,1761916746859,0,0
EU,EUW1_7588577250,EUW1,420,1762002525115,0,0
EU,EUW1_7589839923,EUW1,420,1762090571199,0,0
EU,EUW1_7589886512,EUW1,420,1762092676392,0,0
EU,EUW1_7590025359,EUW1,420,1762099012468,0,0
EU,EUW1_7598765106,EUW1,420,1762787097913,0,0
EU,EUW1_7598788578,EUW1,420,1762788308253,0,0
EU,EUW1_7600910857,EUW1,420,1762943824420,0,0
EU,EUW1_7600936751,EUW1,420,1762946452584,0,0
EU,EUW1_7601128464,EUW1,420,1762961245721,0,0
EU,EUW1_7601176958,EUW1,420,1762964216651,0,0
EU,EUW1_7601353945,EUW1,420,1762972360679,0,0
EU,EUW1_7601409505,EUW1,420,1762974441541,0,0
EU,EUW1_7602260534,EUW1,420,1763049511093,0,0
EU,EUW1_7602312241,EUW1,420,1763052569324,0,0
EU,EUW1_7602422058,EUW1,420,1763057423489,0,0
EU,EUW1_7603756698,EUW1,420,1763151865208,0,0
EU,EUW1_7603926223,EUW1,420,1763157823875,0,0
EU,EUW1_7603943048,EUW1,420,1763158306368,0,0
EU,EUW1_7603959502,EUW1,420,1763158754430,0,0
EU,EUW1_7604010964,EUW1,420,1763160930010,0,0
EU,EUW1_7605154564,EUW1,420,1763242241539,0,0
EU,EUW1_7605237066,EUW1,420,1763245530180,0,0
EU,EUW1_7605306694,EUW1,420,1763248056839,0,0
EU,EUW1_7608173172,EUW1,420,1763485727349,0,0
EU,EUW1_7608665350,EUW1,420,1763504655974,0,0
EU,EUW1_7608693271,EUW1,420,1763505874130,0,0
EU,EUW1_7608706926,EUW1,420,1763506444802,0,0
EU,EUW1_7608762713,EUW1,420,1763509820763,0,0
EU,EUW1_7608990769,EUW1,420,1763553069798,0,0
EU,EUW1_7610306173,EUW1,420,1763641087344,0,0
EU,EUW1_7610345693,EUW1,420,1763643644900,0,0
EU,EUW1_7610388661,EUW1,420,1763646634074,0,0
EU,EUW1_7610533733,EUW1,420,1763654464563,0,0
EU,EUW1_7610619588,EUW1,420,1763658248065,0,0
EU,EUW1_7611005036,EUW1,420,1763671733888,0,0
EU,EUW1_7611304187,EUW1,420,1763683737354,0,0
EU,EUW1_7611328118,EUW1,420,1763685416436,0,0
EU,EUW1_7611362112,EUW1,420,1763689458253,0,0
EU,EUW1_7611863209,EUW1,420,1763743116652,0,0
EU,EUW1_7612080113,EUW1,420,1763752222150,0,0
EU,EUW1_7612408182,EUW1,420,1763763194219,0,0
EU,EUW1_7612460220,EUW1,420,1763765008330,0,0
EU,EUW1_7612597031,EUW1,420,1763770764284,0,0
EU,EUW1_7613089126,EUW1,420,1763822495357,0,0
EU,EUW1_7613131476,EUW1,420,1763824183465,0,0
EU,EUW1_7613175515,EUW1,420,1763825993975,0,0
EU,EUW1_7613220423,EUW1,420,1763828280317,0,0
EU,EUW1_7613260379,EUW1,420,1763829959454,0,0
EU,EUW1_7613325192,EUW1,420,1763832436302,0,0
EU,EUW1_7613423217,EUW1,420,1763836437202,0,0
EU,EUW1_7613687897,EUW1,420,1763845621263,0,0
EU,EUW1_7613774966,EUW1,420,1763848505260,0,0
EU,EUW1_7613841225,EUW1,420,1763850877786,0,0
EU,EUW1_7614008761,EUW1,420,1763858087287,0,0
EU,EUW1_7614034699,EUW1,420,1763860074220,0,0
EU,EUW1_7614412494,EUW1,420,1763904622668,0,0
EU,EUW1_7614459675,EUW1,420,1763906657565,0,0
EU,EUW1_7614889051,EUW1,420,1763922052226,0,0
EU,EUW1_7614982017,EUW1,420,1763925063663,0,0
EU,EUW1_7615163279,EUW1,420,1763930199003,0,0
