source,total_matches,alias_covered_matches,authoritative_covered_matches,mean_alias_players_per_match,mean_authoritative_players_per_match,alias_confirmed_match_coverage_percent,authoritative_match_coverage_percent
NA,69393.0,22461.0,69393.0,0.3258541927860159,1.8399406280172352,32.367818079633395,100.0
KR,61381.0,61191.0,61381.0,1.9602157019273065,1.964500415438002,99.69045795930337,100.0
EU,366328.0,263846.0,366147.0,1.748730645760084,2.6869936232010656,72.024524469874,99.95059072743553
