seed_riot_id,status,distinct_puuids_seen,player_id
suiqu#NA1,resolved_unique,1,c143f3fe33eac4f34b66b9c438db8c59
Edxn#Phel,resolved_unique,1,86a8dfefa567731098580f57e75cece5
HANNI#01010,resolved_unique,1,fea41e942ada9b9b8c01fde3b6ca7de3
Fedwilineallb#NA1,resolved_unique,1,c54ae4d7690bde109fac150587cd5ef3
Xabilomar#NA1,unresolved,0,
Nakadashi#0721,unresolved,0,
lp over ego#NA1,unresolved,0,
sprinting it#idc,resolved_unique,1,11094e6b3ee8f058dc1901e36790aa2b
Sayziee#NA1,unresolved,0,
4Kobe24#NA1,resolved_unique,1,162a39ff5038797e8b8780a63e03a711
Mask of Silence#Aphel,resolved_unique,1,156e9297e6779e320c037caac19103d8
UGodlikeU#NA1,resolved_unique,1,098b62f1c22f0abc80f84d3535b0d1f0
만 세#대한민국,unresolved,0,
Dlwlrma#5839,resolved_unique,1,faea7e1b757b6eeb85af68d86bb17cfd
chillvibes247#NA1,resolved_unique,1,bbb31ebf6d7851fa70e22a1bb57951d2
ok player#NA1,resolved_unique,1,c9d49194a0b71bf1029770c731f2a640
cucu37#NA1,resolved_unique,1,fd8dbe359a472e59a33015d205affc54
I am happyhaha#NA1,resolved_unique,1,7015b18e6c017a346d6376982d5afbd4
Normy#NA0,unresolved,0,
Withstand#NA1,unresolved,0,
BigSocksTyrone#NA1,resolved_unique,1,b6c343585367764cab2b83653285aa2c
david#KHP,resolved_unique,1,8e28daecd919d0fce55b646d171b1351
Alm and Celica#NA1,resolved_unique,1,3a8daf59e9a0f64b6c834323c0133900
BananaOrchestra#NA1,resolved_unique,1,dcbad7861abb931eafcd10a7947fd0a9
Kayn You Win#NA1,resolved_unique,1,68fa810d1310fd91869d5f47ba8364eb
Fusion#xxxx,resolved_unique,1,87bfd6d7596f9aba9baaec2aa2502084
onebiggamer#meow,resolved_unique,1,876c72d5c222b0a976c01d0f3f458a6f
Chooberry#cute,resolved_unique,1,ca6433fb06e470558e750672cba9a86e
Axork#NA1,resolved_unique,1,413f76fe1143e6fb43bc1bf97e93f031
ewaldooo#NA1,resolved_unique,1,10b9245dff96a963a2a629782e8dad97
Mid#Queen,unresolved,0,
weardbop02#NA1,resolved_unique,1,8eed8401222964e4c5cabdc1d4e4b7d9
Wiltzed#NA1,unresolved,0,
Denghing#NA1,unresolved,0,
Lost Trinity#Lost,resolved_unique,1,4f2b2b002e6c08072f9372230be7e40a
im so sober#NA1,resolved_unique,1,e0135574837fc9c27a18aa17aa817468
Chi Sin Lo BB#NA1,resolved_unique,1,69413543f4fae58a55dfd5c890c07997
HarmlessPikachu#NA1,resolved_unique,1,d4a5cec3e3ccb90aa61d3562a4c7e807
Vainy#1212,resolved_unique,1,556f84ca0653cc19a6524cff2baf6af7
Random#MG01,resolved_unique,1,4009c3b667b54ca8896052fa8794b122
Vivian Chan#Kitty,unresolved,0,
小 兔#miffy,resolved_unique,1,66ad33134cdecef09fe1c0a0f7ee95b5
Actual Degen#NAim,resolved_unique,1,f0075ecdc8d1ab68f214036a593c82c5
I am Hoecage#pain,resolved_unique,1,1b5c07d08de697baf2a56b9e08f85f9c
Thawyrmm#NA1,unresolved,0,
CHUNKY GUY#NA1,resolved_unique,1,713f1c0a29b003ea22e81fb46ddf4c0c
Sharty Edwards#Shart,resolved_unique,1,18aef360e5f6bc6fb2f3a11d12be4790
Daisy Me Rolling#888,resolved_unique,1,9e00037aafec7d2d196c2d93d7e447bf
jabraham98#NA1,resolved_unique,1,57e31d9ff89013251e2ef055d9d6a9f5
Kesselin#NA1,resolved_unique,1,b676f261574ceaac5a7ad6f7137a9206
Jhinsulin#4444,resolved_unique,1,ef570f6596ff152f4108a4f416a5ffaf
Mutts#2222,resolved_unique,1,0fdcac417735498edabcf0164bc85e78
Gol D Alex#NA1,resolved_unique,1,3e9d79eeaa54363d7bb075dba0d044ab
techno enjoyer#236,resolved_unique,1,dc0d6acc0fa88ed08c621818d59b3288
Ricarto#Main,unresolved,0,
rotate or afk#NA1,resolved_unique,1,b7852f4089749be79f5100645492eedf
Espada#CSX,unresolved,0,
Korred#Kat,resolved_unique,1,a68d6cf350a01895018313c02a112dd9
America Ferrera#NA1,resolved_unique,1,fe596da558f132229be6f250a3cb8f6a
jaegogo8#NA1,unresolved,0,
Grumpy Tøad#NA1,unresolved,0,
Maestro#1324,unresolved,0,
marshmellow man#NA1,resolved_unique,1,8f9fc42ceacf554359c1412e9a86ac8e
Wampominater#6696,resolved_unique,1,99b807cfed52af7f2f27cf9d220c339d
Yutashii#NA1,resolved_unique,1,94c63b2dec0df47a9634702168f834df
Lucky#pew,resolved_unique,1,068b423762d925fb6465fa2f3833f81e
UwU I wuv u OwO#NA1,unresolved,0,
Couffe#NA1,resolved_unique,1,de614fdb4dd7982e2bee2bbbd1701566
Hi Manny#1296,resolved_unique,1,5a5b30342240058866d1585e5f3adc7e
HalfSumo#NA1,unresolved,0,
Asian Legacy#NA 1,unresolved,0,
mykewl#NA1,resolved_unique,1,055b19f8bd36a3656b5a9b930af2a6f0
Folin Crazier#NA1,resolved_unique,1,f28a9e40cf6db272ec278c0eda67aa78
Ryan Choi#NA1,unresolved,0,
Towd47#towd,resolved_unique,1,d8dfb915fdf79a8e34f1bda290d0ef8c
TEAMFIGHT ANDREW#NA1,resolved_unique,1,ae0aa60fac5996448e813e4dcc800795
I LIKE TO SMASH#NA1,resolved_unique,1,de66660149bdf540fff6799a1ff62d71
Anders#unluc,resolved_unique,1,4204b931dc9a5e8788353295531b5470
Emalee#cutie,unresolved,0,
yams00#NA1,unresolved,0,
Luçious#NA1,resolved_unique,1,5b35b37a70abb48e3ee75d25fd69ca04
gg boomer#ggb,resolved_unique,1,d2ae35eba48b31311ed1fb89c1a5f55a
Iway#NA1,unresolved,0,
Lil Robot#NA1,unresolved,0,
vic#pie,resolved_unique,1,8385ca62c16306f2251d3438034f6132
ziggalicious#100,resolved_unique,1,dc559c38eda6f1d767a3a6dd9afcb8f8
Johnny Sins#KR69,resolved_unique,1,38b57373e055c177ee5a31b5df21b9d2
WeaksideNChill#Sona,resolved_unique,1,b6a7d1ec2c84e4f12c18d04625f7dd9e
Un Falso Faker#NAA,unresolved,0,
Sesame Syrup#CASS1,unresolved,0,
jyeetgottem#2121,resolved_unique,1,692576f45a187f2bc6e6bf62508b37bc
Lovense Abuser#9145,unresolved,0,
Ormwveren#2602,resolved_unique,1,f42db61a2af57e2e1403790db80bcdc7
Teja#1415,unresolved,0,
Uchuno#NA2,resolved_unique,1,34f342b3997f985a456996d0f4803425
terminator03#NA2,unresolved,0,
OUIOUIbaguette#QUÝ,resolved_unique,1,b904b69cb00c160e629b1367e270e2f6
angry king jay#NA1,resolved_unique,1,f3585190c50fc5bc0937f369967a6e8f
R32 Bi Turbo#NA1,resolved_unique,1,f01b850d0bf0b7817bce19988ced3947
Blitzcrank ASMR#NA1,resolved_unique,1,f50aba2b7dafe9744c9b85b46d9a54f7
WalterSmite#crack,unresolved,0,
pedro gonzales#taco,unresolved,0,
SuppØrt is Ez#NA1,unresolved,0,
八奈見アンナ#ヒロイン,resolved_unique,1,bf9fed9ec985e7bce44998959092cd55
SanJuste#NA1,resolved_unique,1,837569137c64cabdddc4eb102d84b81b
Cyncere X#Nope,unresolved,0,
MarcyXBonnie#NA1,resolved_unique,1,9d93d41a11af2bede8f0705b54f1c239
Chanel#225,unresolved,0,
雨中行走#zxz,resolved_unique,1,7fd884253192d4009795e791381ec9c6
Ziheal#2025,resolved_unique,1,952d3f14ce1be9c73c7843b9393c9ba1
BazookaAoogah#NA1,resolved_unique,1,5c2b5c631d4ba767da251fa6731fb0d5
Hollowcider#NA1,unresolved,0,
Nicolaus Locke#NA1,resolved_unique,1,fb4a32b66d26263d316a7ea18824844e
Sh0rtTime#NA1,resolved_unique,1,39798d68dcdf7e678a96e1b986871239
越南炮手#VIE,resolved_unique,1,2bdacc1b8f2715d347c3c893ba61116a
PLAYERSARENIGNA#1234,resolved_unique,1,fddc17364f3a0b4cc7bfcc6dca3f49c1
NMIXX Lily#rel,unresolved,0,
Swirlstrike#NA1,resolved_unique,1,a5e430cd7001d0eae2b2e67817e15da5
SammyNappy#Joxoy,resolved_unique,1,a3f6ecf059b3be75630e7624a3c32fe2
Isidorek#NA0,resolved_unique,1,75f605a636bd102100a32a2a78103a24
Luig#NA1,unresolved,0,
Mew#xpkmn,unresolved,0,
MoonZeroTwo#NA1,unresolved,0,
SniperBoi#4434,resolved_unique,1,261c77eb1bf9ac655be4260927b439eb
Christopher Top#NA1,resolved_unique,1,0cb32f6d5a3d4011f5ea81b2ae5d1798
SpringTigerKing#777,resolved_unique,1,405a00aad3d5fc9f010856ac0a4cd608
LilacWho#NA1,unresolved,0,
Hawkeye#M4077,resolved_unique,1,4bf38752011257db2e1a0351ccd14e68
Nerf Ahri Thighs#UwU,resolved_unique,1,84e425b5f324ce0011d6ed3294987ce6
pround#2536,resolved_unique,1,706bf920cbc0e81db2d83c0e8289cd91
BOOTY MEAT#NA2,unresolved,0,
Don Donaldson#NA1,resolved_unique,1,9a46197d16e8d6de13e856b1f6bd9adc
China4399aoligei#NA1,resolved_unique,1,2ca01ac29c413aa42eecaabc1e3d58bd
Christian Queso#QUESO,resolved_unique,1,f8b158be375e43144492e7c7bacd725b
Pelvin#NA1,unresolved,0,
1Mistake#123,resolved_unique,1,550980b41433102f097981a7fc2330e3
수풀 아래에 숨으세요#TsPmo,resolved_unique,1,9322af29d3b64c3032664201a258c141
Blondy#na2,resolved_unique,1,e8f4703c4eeaadd31f0bc064b6ae3d61
lesgetitpogchamp#NA1,resolved_unique,1,9094031d4ef528a3cc0762d7d72c54a5
